"","AT3G18990","AT5G10140"
"GSM265534.CEL",8.08085941521066,5.64809922214986
"GSM265535.CEL",7.9011674168735,5.77360002388979
"GSM265536.CEL",7.96037904106885,6.05997527900097
"GSM265537.CEL",7.81150964792765,5.95560680279429
"GSM265538.CEL",8.02760234186139,5.03562615285166
"GSM265539.CEL",7.94244360384733,5.57751021715224
"GSM10445.CEL",8.75502499072595,4.59875455067142
"GSM10446.CEL",8.94872703980813,4.54043253778841
"GSM10448.CEL",8.55919925118012,6.5014334650471
"GSM10449.CEL",8.59215202220753,6.4091303437741
"GSM10451.CEL",8.43766467624594,8.63293619361472
"GSM10453.CEL",8.50147132236149,8.76353614519467
"GSM10454.CEL",7.88927417708316,8.41025186088118
"GSM10456.CEL",7.93448831457556,8.45946276706252
"GSM10457.CEL",8.03831164003046,5.21559512678558
"GSM10458.CEL",7.93358843688926,5.17890913619945
"GSM10477.CEL",8.67854970081525,4.62304537790494
"GSM10478.CEL",8.70414891434714,4.52516033451156
"GSM10479.CEL",8.58721592811764,4.15168891503102
"GSM10480.CEL",8.57866626569772,4.6521500765361
"GSM10481.CEL",7.88027137646629,5.18354755916558
"GSM10482.CEL",7.8326664298181,4.91360105481144
"GSM10483.CEL",7.81513912335968,5.0743465007748
"GSM10484.CEL",8.03526545269606,4.81909901953103
"GSM147965.CEL",9.39807174613555,4.88417115526622
"GSM147966.CEL",9.68589380640428,4.72406512043008
"GSM265846.CEL",7.76497349466551,6.56009405392248
"GSM265847.CEL",7.72148811588486,6.41465166015396
"GSM265848.CEL",7.81970441700032,6.61617503468628
"GSM265849.CEL",7.56231619987995,6.39949452807458
"GSM265850.CEL",7.39379279299365,6.47076665063135
"GSM265851.CEL",7.23868780302873,6.58415795674927
"GSM265852.CEL",7.70354394751121,6.20197217226023
"GSM265853.CEL",7.62266305871385,6.22932751319252
"GSM265854.CEL",7.55350623603572,5.99082962402162
"GSM265855.CEL",7.45827292643617,6.2264049676182
"GSM265856.CEL",7.37764415518913,6.41625594092277
"GSM265857.CEL",7.26822634215256,6.08316234399628
"GSM265858.CEL",7.75345589660175,6.77668055563481
"GSM265859.CEL",7.72788202560817,6.46170010524868
"GSM265860.CEL",7.46090798588523,6.13778852105988
"GSM265861.CEL",7.49591020145553,6.32777190828144
"GSM265862.CEL",7.3683100416517,6.31632716865219
"GSM265863.CEL",7.35355161841491,6.1475326547682
"GSM265864.CEL",7.61074488713116,6.18430474940482
"GSM265865.CEL",7.48971342096422,6.30891019920409
"GSM265866.CEL",7.56713293367044,6.12006378999915
"GSM265867.CEL",7.38717279760111,6.27470817078787
"GSM265868.CEL",7.06468553394862,6.22797296129733
"GSM265869.CEL",7.23427494084093,6.01009921949215
"GSM266817.CEL",7.66976504027639,5.77166328657792
"GSM266818.CEL",7.8304709199178,6.15916812403268
"GSM266819.CEL",7.7538955700597,5.87224924866301
"GSM266820.CEL",7.81716267523583,6.07869587582492
"GSM266821.CEL",7.65182814636169,6.26530146848651
"GSM266822.CEL",7.57786807981288,5.77309760647506
"GSM268245.CEL",8.22665907584041,4.95286436324406
"GSM268246.CEL",7.28219051128729,5.14245833347628
"GSM268247.CEL",8.92258368505384,4.82818183321767
"GSM268248.CEL",6.75163374320637,5.23749174088359
"GSM268249.CEL",8.12886333382013,4.40580094830123
"GSM268250.CEL",7.54704762890066,4.45162840410318
"GSM268251.CEL",7.89530583468078,6.9565465253639
