"","AT1G26600","AT2G17950"
"GSM271058.CEL",4.89314765267051,4.08960075696017
"GSM271059.CEL",4.41982859682206,3.71884845164429
"GSM271060.CEL",4.60402949368351,3.9691209576441
"GSM271065.CEL",4.4686679854897,4.03272447267985
"GSM271066.CEL",4.21019239502912,3.67031467385439
"GSM271071.CEL",4.19345295461857,3.80979748973029
"GSM271072.CEL",4.2713884608099,3.8378239463793
"GSM271073.CEL",4.21572920611911,3.88624637577208
"GSM271074.CEL",4.22187698434124,3.85478757496653
"GSM271079.CEL",4.4748623473921,3.77921351286929
"GSM271080.CEL",4.53169619011053,3.79780593646693
"GSM271082.CEL",4.27637975583893,3.66746895571718
"GSM270814.CEL",4.26684444659239,3.94152101033636
"GSM270853.CEL",4.23214680985354,3.95856485469856
"GSM270865.CEL",4.14156793978541,3.92050104598441
"GSM270866.CEL",4.25561922616302,4.01652831843063
"GSM270868.CEL",4.21125318550592,4.1197017411146
"GSM270870.CEL",4.27299382901991,4.00445861065942
"GSM272107.CEL",5.04129800660236,4.11093062856239
"GSM272108.CEL",4.69177116364638,4.09865827784394
"GSM272109.CEL",5.50839478515566,3.86496925315817
"GSM272110.CEL",5.18375766772052,3.82277522036744
"GSM272111.CEL",5.07947572908784,3.71688712609633
"GSM272112.CEL",5.47619695911846,4.08845596080408
"GSM272985.CEL",4.42431880998957,3.78811214355144
"GSM272986.CEL",4.54529547412208,3.78841480731454
"GSM272987.CEL",4.17500300891579,3.78803119128276
"GSM272988.CEL",4.36000113740785,3.65831261850679
"GSM272989.CEL",4.49307779570933,3.78048832459272
"GSM272990.CEL",4.62728405141698,3.72232656472215
"GSM272991.CEL",4.22490264872839,3.84244877288145
"GSM272992.CEL",4.24826268149501,3.95368657017693
"GSM275637.CEL",4.7449595990926,4.31748979449506
"GSM275638.CEL",4.98983316730022,4.16491991425503
"GSM275639.CEL",4.8514882491858,4.34734090823842
"GSM275641.CEL",4.70235866806639,4.28330602768511
"GSM275642.CEL",4.80428548564621,4.39149532338345
"GSM275643.CEL",4.46453656824649,4.32579195128554
"GSM277232.CEL",5.03782842244855,3.69554048730965
"GSM277233.CEL",5.18777498332683,3.892854870925
"GSM277234.CEL",5.67263231432916,3.93838218227452
"GSM277235.CEL",5.53394240678898,3.78005681539273
"GSM282693.CEL",4.18641212218433,3.6296072083593
"GSM282694.CEL",3.89295133388723,3.84350495151186
"GSM282695.CEL",4.0805692140593,3.66947562944328
"GSM282696.CEL",4.03921693274526,3.85761861005056
"GSM282697.CEL",4.14287554100339,3.61739936573405
"GSM282698.CEL",4.17578375420246,3.69995426129009
"GSM282699.CEL",4.14635232607237,3.73363517005064
"GSM282700.CEL",4.06120838773416,3.84522355878391
"GSM282701.CEL",4.36141388262375,3.94899129906457
"GSM282702.CEL",4.09345096774639,3.7908343902661
"GSM282703.CEL",4.01539977292446,3.75046648739217
"GSM284051.CEL",4.94866831507896,3.85116978136865
"GSM284052.CEL",5.50738833459672,3.67085560309852
"GSM284053.CEL",5.35729769220484,3.98432539611994
"GSM284054.CEL",5.03124828124903,3.92264748781945
"GSM284384.CEL",4.21821797536728,4.27590794567112
"GSM284385.CEL",4.68380002292063,4.53385244395988
"GSM284386.CEL",4.23599274566978,3.90655446700971
"GSM284387.CEL",4.15324733338533,3.94989597461602
"GSM284388.CEL",5.7252325901997,4.54570485026975
"GSM284389.CEL",5.30812475083132,4.15342349842827
"GSM284390.CEL",4.62975483372109,4.97749055381828
"GSM284391.CEL",5.07617842661962,4.12564690901778
"GSM284392.CEL",4.17774248565348,3.76390550464705
"GSM284393.CEL",5.32535889959535,4.87952705390885
"GSM284394.CEL",4.82365852893908,4.06300108311925
"GSM284395.CEL",5.41722632179634,4.50862925575656
"GSM284396.CEL",4.58175086538954,4.41743080445065
"GSM284397.CEL",5.13424161097205,3.91572593361235
"GSM284398.CEL",5.08325361406382,4.24130564581252
"GSM499416.CEL",4.99217943343236,4.17047208734953
"GSM499417.CEL",4.79653036487418,3.9465702580253
"GSM289637.CEL",5.70682200809418,3.94333799334373
